HERBACEOUS	ER0BEY1SHAH0S
PROOF	PRUW1F
MISSOURI'S(1)	MAH0ZER1AH0Z
NICKLAS	NIH1KLAH0Z
KAHRE(1)	KAA1R
MATTS	MAE1TS
CALK	KAO1K
PROTECTIONS	PRAH0TEH1KSHAH0NZ
WORONOFF	WAO1RAH0NAO0F
MARUYU	MEH1RUW0YUW0
STRANDING	STRAE1NDIH0NG
SYSTRAN(1)	SIH1STRAE2N
DICKS	DIH1KS
ALBUM	AE1LBAH0M
BIX	BIH1KS
STOOPED	STUW1PT
VASTOLA	VAA0STOW1LAH0
BARSKY	BAA1RSKIY0
TRAMPLE	TRAE1MPAH0L
FORTH	FAO1RTH
MINIMIZES	MIH1NAH0MAY2ZAH0Z
THRU	THRUW1
SOYSAUCE	SOY1SAO2S
WESTENBERGER	WEH1STAH0NBER0GER0
COUNTERFEITERS	KAW1NTER0FIH2TER0Z
SIMPER	SIH1MPER0
KIROUAC	KAY1RAW0AE0K
THRUSHES	THRAH1SHAH0Z
WOONG	WUW1NG
RETURNEE	RIH0TER0NIY1
PROSPECTS	PRAA1SPEH0KTS
CULTS	KAH1LTS
BONNEAU	BAH0NOW1
COLOSSAL	KAH0LAA1SAH0L
SERBAINE	SER0BEY1N
COWHERD	KAW1HHER2D
FORBEARANCE	FAO0RBEH1RAH0NS
MAGAZINE'S	MAE1GAH0ZIY2NZ
INTERFACES(1)	IH1NER0FEY2SIH0Z
KIGHTLINGER(1)	KAY1TLIH0NGER0
DECREE	DIH0KRIY1
SODIUM	SOW1DIY0AH0M
EISENMENGER	AY1ZAH0NMEH0NGER0
KGANAKGA	KAH0GAH0NAE1GAH0
LEACH	LIY1CH
RILLA	RIH1LAH0
CORRELATES	KAO1RAH0LAH0TS
AMARILLA	AE2MER0IH1LAH0
STEPHENSON	STIY1VAH0NSAH0N
ARRIOLA	AA2RIY0OW1LAH0
BEATERS	BIY1TER0Z
AUDI	AO1DIY0
KRAFFT	KRAE1FT
BUCHAN	BAH1KAH0N
OPERATORS'	AO1PER0EY2TER0Z
CHINOOKS	CHIH0NUH1KS
PRESUME	PRIH0ZUW1M
KNITTLE	NIH1TAH0L
SIMPLIFIED	SIH1MPLAH0FAY2D
MEMOREX	MEH1MAO0REH2KS
ADOR	AA0DAO1R
GLOBALIZED	GLOW1BAH0LAY2ZD
HUMANITIES(1)	YUW0MAE1NIH0TIY0Z
VULLO	VUW1LOW0
RUSHMORE	RAH1SHMAO0R
ENCOURAGE(1)	IH0NKER1AH0JH
MAWKISH	MAO1KIH0SH
FEITH	FAY1TH
HANDMADE	HHAE1NDMEY1D
HAIR	HHEH1R
KOTTLER	KAA1TLER0
MAURIN	MAO1RIH0N
MONINGER	MOW1NIH0NGER0
SAMUDIO	SAA0MUW1DIY0OW0
BORDELLO	BAO0RDEH1LOW2
PENDLEY	PEH1NDLIY0
STEM	STEH1M
GOVERNED	GAH1VER0ND
SCHRIER	SHRAY1ER0
SURPASSED	SER0PAE1ST
SPEEDS	SPIY1DZ
BUSEMAN	BIH1SMAH0N
SOTHEBY'S	SAA1THAH0BIY0Z
SCAPEGOAT	SKEY1PGOW2T
SUBSTANDARD	SAH0BSTAE1NDER0D
TRAISTER	TREY1STER0
BEECROFT	BIY1KRAO2FT
DANK	DAE1NGK
NEILSON	NIY1LSAH0N
SUNFLOWERS	SAH1NFLAW2ER0Z
FAULT	FAO1LT
ZELINA	ZEH0LIY1NAH0
LITANY	LIH1TAH0NIY0
LODWRICK	LAA1DRIH0K
BROAD	BRAO1D
SEMIFINALIST(2)	SEH2MAY0FAY1NAH0LIH0ST
REITERATES	RIY0IH1TER0EY2S
TIGNER	TAY1GNER0
NEPONSET	NAH0PAA1NSIH0T
MAGAN	MEY1GAH0N
REDWOOD	REH1DWUH2D
TUNDE	TAH1ND
WOKEN	WOW1KAH0N
SEISMOLOGISTS	SAY2ZMAA1LAH0JHIH0STS
CONSTRUCTIVELY	KAH0NSTRAH1KTIH0VLIY0
VOLVOS	VAO1LVOW0Z
SWAYNE	SWEY1N
KANNO	KAE1NOW0
BUNDREN	BAH1NDER0AH0N
SANT	SAE1NT
RIZZOLI	RIH0ZOW1LIY0
MARTYR	MAA1RTER0
CAMMERMEYER	KAE1MER0MAY2ER0
CHANCERY	CHAE1NSER0IY0
SNUGGLE	SNAH1GAH0L
CORTISOL	KAO1RTIH0SAO2L
ALDANA	AA0LDAE1NAH0
FINERAN	FIH1NER0AE0N
MULTIBILLION	MAH2LTAY2BIH1LYAH0N
CERSKA(1)	SER1SKAH0
MOBUTU	MOW0BUW1TUW2
MAGNETS	MAE1GNAH0TS
GRAVINO	GRAA0VIY1NOW0
FALSETTOS	FAO0LSEH1TOW2Z
VOROS	VAO1ROW0Z
ATHLETIC	AE0THLEH1TIH0K
LARAMIE	LEH1RAH0MIY0
PLUNK	PLAH1NGK
SEMANS	SIY1MAH0NZ
BOGLE	BOW1GAH0L
EISIN	AY1SAH0N
COLLABORATOR	KAH0LAE1BER0EY2TER0
BROOKS'	BRUH1KS
CROSSWISE	KRAO1SWAY2Z
LINCECUM	LIH1NSIH0KAH0M
COENZYME	KOW0EH1NZAY0M
SHIMOGA	SHIH0MOW1GAH0
TRANSLATES	TRAE0NZLEY1TS
SLACKENING	SLAE1KAH0NIH0NG
WENGE	WEH1NJH
ALARM'S	AH0LAA1RMZ
FORSOOK	FAO0RSUH1K
MILITANTLY	MIH1LIH0TAH0NTLIY0
SEGMENTED(1)	SEH2GMEH1NTIH0D
LOCKART	LAA1KAA2RT
MIGNEAULT	MIH0GNOW1
MITRE(1)	MAY1TER0
UNCONSCIOUS	AH2NKAA1NSHAH0S
FLATEN	FLAE1TAH0N
MISSILES'	MIH1SAH0LZ
BERCAW	BER1KAO0
EPHLIN	EH1FLIH0N
FOOTE'S	FUH1TS
BILYK	BIH1LIH0K
SAFEGUARDING	SEY1FGAA2RDIH0NG
ZEVA	ZEY1VAH0
ELEMENT	EH1LAH0MAH0NT
AUNTS	AE1NTS
EARNSHAW	ER1NSHAO2
BANQUO'S	BAE1NGKWOW0Z
MAHATHIR(1)	MAH0HHAE1THIH2R
EVERMAN	EH1VER0MAH0N
CESARO	CHEH0SAA1ROW0
ELLERTSON	EH1LER0TSAH0N
PARODIED	PEH1RAH0DIY0D
PAINTED	PEY1NTAH0D
UNUM	YUW1NAH0M
AVEDISIAN	AE0VIH0DIH1ZHIH0N
REALTOR(1)	RIY1LTER0
BUCKET	BAH1KIH0T
HARTFIEL	HHAA1RTFIY2L
STANZIONE	STAA0NZIY0OW1NIY0
FORFEITS	FAO1RFIH0TS
MIMI	MIY1MIY0
DISCONNECTED	DIH2SKAH0NEH1KTIH0D
CLOUD	KLAW1D
REBELLIOUS(1)	RAH0BEH1LYAH0S
MISBEHAVED(1)	MIH2SBIY0HHEY1VD
PREVARICATION	PRAH0VEH2RAH0KEY1SHAH0N
WU'S	WUW1Z
CATHARINES	KAE1THRIH0NZ
MORRY	MAO1RIY0
DESIRING	DIH0ZAY1ER0IH0NG
GRIGOLI	GRIH0GOW1LIY0
APPELLATE(1)	AH0PEH1LEY2T
TAMBURELLO	TAA0MBUH0REH1LOW0
SUBCOMMITTEE	SAH1BKAH0MIH1TIY0
MANNARINO	MAE1NER0IY0NOW0
FLUNKING	FLAH1NGKIH0NG
PARADOWSKI	PER0AH0DAO1FSKIY0
IGOU	IH2GUW1
MULTILINE	MAH1LTIY0LAY2N
PUOPOLO	PWOW0POW1LOW0
MEASEL	MIY1ZAH0L
JACKEL	JHAE1KAH0L
ARO	AA1ROW0
IMPEACHES	IH2MPIY1CHAH0Z
ROYSTON	ROY1STAH0N
BURAK	BYUW1RAH0K
CHEWERS	CHUW1ER0Z
BOGEYMEN(1)	BUH1GIY0MIH2N
CORRESPONDED	KAO2RAH0SPAA1NDIH0D
REFURBISH	RIY0FER1BIH0SH
AFGHANISTAN	AE0FGAE1NAH0STAE2N
KNOX	NAA1KS
NON-COMBATANT	NAA2NKAH0MBAE1TAH0NT
SAGAR	SAA0GAA1R
ACCESSORIZED	AE0KSEH1SER0AY2ZD
WALLINGFORD	WAO1LIH0NGFER0D
BLAKENSHIP	BLEY1KAH0NSHIH0P
PINOLA	PIH0NOW1LAH0
GUILD	GIH1LD
STRUBLE	STRUW1BAH0L
ENCYCLOPEDIST	IH0NSAY2KLAH0PIY1DAH0ST
RAOUX	RAE0UW1
MINERALS	MIH1NER0AH0LZ
BALLYHOOED	BAE1LIY0HHUW1D
RUMINA	RUW1MIH0NAH0
KUIPERS	KUW1PER0Z
WARMUTH	WAO1RMUH2TH
CASELOADS	KAE1SAH0LOW2DZ
SCHRANTZ	SHRAE1NTS
REPRESENT(1)	REH2PRIH0ZEH1NT
GORGES	GAO1RJHAH0Z
INFLATION	IH2NFLEY1SHAH0N
INY	IH1NIY0
EMBROILED	EH0MBROY1LD
NOMURA	NOW0MUH1RAH0
COMPOUNDS	KAA1MPAW0NDZ
GROWN-UPS	GROW1NAH2PS
WM(1)	DAH1BAH0YUW0EH1M
HAVINGTON	HHAE1VIH0NGTAH0N
MCKELL	MAH0KEH1L
PLUS'S	PLAH1SIH0Z
MANN	MAE1N
SPEECHIFY	SPIY1CHAH0FAY2
HANDROS	HHAE1NDROW0S
SCRIBBLES	SKRIH1BAH0LZ
MADEWELL(1)	MEY1DWEH0L
INEXPLICABLE	IH2NAH0KSPLIH1KAH0BAH0L
FOULING	FAW1LIH0NG
PARAMILITARY	PEH2RAH0MIH1LAH0TEH2RIY0
COLAIZZI	KOW2LEY1ZIY0
HATCH	HHAE1CH
MCENERNEY	MAE1KAH0NEH0RNIY0
HOME-GROWN	HHOW1MGROW2N
LIGACHEV	LIH1GAH0CHEH0V
CHURCHILL	CHER1CHIH0L
DEVOE	DIH0VOW1
ABELARD	AE1BIH0LER0D
BESS	BEH1S
EFFECTED	IH0FEH1KTAH0D
SEELING	SIY1LIH0NG
BILES	BAY1LZ
WEBSTER'S	WEH1BSTER0Z
BRUEGGER	BRUW1GER0
TOPOLOGICAL	TAH0PAH0LAA1JHIH0KAH0L
MOREDOCK	MAO1RIH0DAA0K
LAURENE	LAO0RIY1N
RELATIONS	RIY0LEY1SHAH0NZ
EMMIT	EH1MIH0T
INDOLENT	IH1NDAH0LAH0NT
BUCHS	BAH1KS
TUEL	TUW1L
CONSUMING	KAH0NSUW1MIH0NG
LAVERGNE	LAH0VER1NY
FOB	FAO1B
SERPAS	SER1PAH0Z
WINDOM	WIH1NDAH0M
CONSOLIDATED'S	KAH0NSAA1LIH0DEY2TIH0DZ
HAAGEN	HHAA1GAH0N
ENSURED	EH0NSHUH1RD
RANKLING	RAE1NGKLIH0NG
DEVISES	DIH0VAY1ZIH0Z
CAMPUSES(1)	KAE1MPAH0SIH0Z
STRATIFY	STRAE1TAH0FAY2
VYING	VAY1IH0NG
ASTRONOMICAL	AE2STRAH0NAA1MIH0KAH0L
DECORTE	DIH0KAO1RTIY0
CREMER	KRIY1MER0
ALCIDS	AE1LSIH0DZ
RATEPAYER	REY1TPEY2ER0
DATZ	DAE1TS
TELEQUEST	TEH1LAH0KWEH1ST
GULBRANDSON	GAH1LBRAH0NDSAH0N
BUSED	BAH1ST
DAIKIN	DEY1KIH0N
DOCKEN	DAA1KAH0N
REALTORS(1)	RIY1LTER0Z
SUNROOF	SAH1NRUW2F
DESMOPLASIA	DEH2ZMOW0PLEY1ZHIY2AH0
MELBURN	MEH1LBER0N
BILLET	BIH1LAH0T
DYCHES	DAY1CHIH0Z
CARFAGNO	KAA0RFAA1GNOW0
SULFUR	SAH1LFER0
BLUSTER	BLAH1STER0
SPIRO	SPIH1ROW2
LAUNCHER	LAO1NCHER0
ALLIS	AE1LIH0S
SCHURING	SHER1IH0NG
CY	SAY1
SERVO	SER1VOW0
NASE	NEY1Z
STOLT	STOW1LT
FRANCHISES	FRAE1NCHAY2ZIH0Z
UPPER	AH1PER0
SALESPEOPLE	SEY1LZPIY2PAH0L
TEMPERAMENTALLY(2)	TEH2MPRAH0MEH1NAH0LIY0
LILCO	LIH1LKOW0
CRYSTER	KRAY1STER0
CHARRETTE	SHAH0REH1T
BOWLED	BOW1LD
UNDATED	AH2NDEY1TIH0D
WICCA	WIH1KAH0
WHERE'VE	WEH1RAH0V
HORACEK	HHAO1RAH0CHEH0K
WORDED	WER1DIH0D
PAINEWEBBER	PEY1NWEH1BER0
ROCKVILLE	RAA1KVIH2L
KILLPACK	KIH1LPAE2K
SHERMAN'S	SHER1MAH0NZ
CANTRELL	KAE0NTREH1L
BRAUNE	BRAO1N
LIAU	LIY1AW0
MOSZKOWSKI	MAA2SKAW1SKIY0
TRILLIN	TRIH1LIH0N
BEEFEATER	BIY1FIY2TER0
HORATIUS	HHAO0REY1SHAH0S
GESSLER(1)	GEH1SLER0
MALINE	MAA0LIY1NIY0
INITIALLING	IH2NIH1SHAH0LIH0NG
SCIENCE'S	SAY1AH0NSIH0Z
DETERGENTS	DIH0TER1JHAH0NTS
INTELLECTS(1)	IH1NAH0LEH2KTS
AALSETH	AA1LSEH0TH
SYNAPSES	SIH1AE0PSIH0Z
STEALTHY	STEH1LTHIY0
STROGANOFF	STROW1GAH0NAO2F
FISHELL	FIH1SHAH0L
EMERSE	IH0MER1S
DEAN'S	DIY1NZ
BENZES	BEH1NZIH0Z
DECASTRO	DIH0KAE1STROW0
WALSH'S	WAO1LSHIH0Z
GIRLS'	GER1LZ
EXTRALEGAL	EH2KSTRAH0LIY1GAH0L
REVALUATIONS	RIY0IH0VAE2LYUW0EY1SHAH0NZ
CUDGELS	KAH1JHAH0LZ
HOURIHAN	AW0RIY1HHAA0N
STREGE	STRIY1JH
MAURICIO	MAW0RIY1SIY0OW0
ADVERB	AE1DVER0B
PATT	PAE1T
DELL	DEH1L
SUPERFREIGHTERS	SUW1PER0FREY2TER0Z
OETTING	OW1TIH0NG
KNICKS'	NIH1KS
MINOLI	MIH0NOW1LIY0
DRUB	DRAH1B
MCCORKLE	MAH0KAO1RKAH0L
BARONETS(1)	BEH2RAH0NEH1TS
BOATLIFT	BOW1TLIH2FT
RHOAD	ROW1D
PROSPEKT	PRAA1SPEH0KT
CHEESER	CHIY1ZER0
SKINS'	SKIH1NZ
NEXT	NEH1KST
PRINTING'S	PRIH1NTIH0NGZ
WICHITA	WIH1CHAH0TAO2
BUTTRY	BAH1TRIY0
PITKIN	PIH1TKIH0N
TRUDGEN	TRAH1JHAH0N
MARLO	MAA1RLOW0
GAUMER	GAW1MER0
FESTUS	FEH1STAH0S
REVOKE	RIH0VOW1K
BOROUGH'S	BER1OW2Z
NUCORP	NUW1KAO2RP
FROEDGE	FROW1JH
ENGELKEN	EH1NGGIH0LKAH0N
POPEJOY'S	POW1PJHOY2Z
KLICK	KLIH1K
BAGSBY	BAE1GZBIY0
ALLDREDGE	AH0LDREH1JH
INFIRMED	IH0NFER1MD
HARDENER	HHAA1RDAH0NER0
CAMPANIS	KAE2MPAA1NIH0S
MORDOR	MAO1RDAO2R
IGNITES	IH2GNAY1TS
HEMMING	HHEH1MIH0NG
ENDTIMERS	EH1NDTAY0MER0Z
SANDSTONE(1)	SAE1NSTOW2N
STRANDS	STRAE1NDZ
DUBAS	DUW1BAH0Z
TRIALS	TRAY1AH0LZ
FARRIS	FEH1RIH0S
SYMBOLISTS(1)	SIH1MBAH0LIH0STS
ELECTROMAGNETISM	IH2LEH2KTROW0MAE1GNAH0TIH2ZAH0M
BROWNS	BRAW1NZ
AUTHENTICALLY	AO2THEH1NTIH0KLIY0
CHESTNUT(1)	CHEH1STNAH2T
SENEGAMBIA	SEH2NAH0GAE1MBIY0AH0
SEISMOLOGIST	SAY2ZMAA1LAH0JHIH0ST
RAPPAHANNOCK	RAE2PAH0HHAE1NAH0K
BERNACKI	BER0NAA1TSKIY0
MOOERS	MUW1ER0Z
LENIHAN	LEH1NIH0HHAE0N
RICE	RAY1S
SAVALA	SAA0VAA1LAH0
MISTREAT	MIH0STRIY1T
PASTORIUS	PAE1STAO0RIY0IH0S
STORER	STAO1RER0
PRECLUSION(1)	PRIY0KLUW1ZHAH0N
REVLON	REH1VLAA0N
KACKLEY	KAE1KLIY0
REFUTED	RIH0FYUW1TIH0D
DIETRICH	DIY1TRIH0K
SAB'S	SAE1BZ
TIBIA(1)	TIH1BYAH0
ITA(1)	AY1TIY1EY1
MILANOWSKI	MIH0LAH0NAO1FSKIY0
TEAFORD(1)	TIY1FER0D
ESMARK	EH1SMAA2RK
ERAMO	EH0RAA1MOW0
DOMBROSKI	DAH0MBRAW1SKIY0
NANTES	NAE1NTS
FROSTBITTEN	FRAO1STBIH2TAH0N
MANDY	MAE1NDIY0
LIESE	LIY1Z
STIVERS	STAY1VER0Z
DRUGGED	DRAH1GD
BERST	BER1ST
CINEMATIC	SIH2NAH0MAE1TIH0K
GRANDFATHER(1)	GRAE1NFAA2DHER0
AGREGIOUS	AH0GRIY1JHIY0AH0S
BERGSMA	BEH1RGZMAH0
MONUMENTS	MAA1NYAH0MAH0NTS
DOBOSZ	DAA1BAH0SH
COVENANTERS	KAH1VAH0NAH0NTER0Z
MACKOWSKI	MAH0SKAO1FSKIY0
SORIA	SAO1RIY0AH0
SELF-GOVERN	SEH1LFGAH1VER0N
UNREASONABLE	AH0NRIY1ZNAH0BAH0L
BINOMIAL	BAY0NOW1MIY0AH0L
RATIONALLY(1)	RAE1SHNAH0LIY0
THICKHEAD	THIH1KHHEH2D
PARCPLACE	PAA1RKPLEY2S
RAPE	REY1P
OCTAHEDRON	AA2KTAH0HHIY1DRAH0N
DASPIN	DAE1SPIH0N
OBVIATE	AA1BVIY0EY2T
ROFF	RAO1F
CATAMOUNT	KAE1TAH0MAW2NT
HOGE	HHOW1JH
NEAGLE	NIY1GAH0L
FACILITATES	FAH0SIH1LAH0TEY2TS
ONGOING	AA1NGOW2IH0NG
RYAVA	RAY0AA1VAH0
KHOO	KUW1
SHINWA	SHIH1NWAH0
CHEROKEE	CHEH1RAH0KIY2
SCHOLTZ	SHOW1LTS
CONTENTIONS	KAH0NTEH1NSHAH0NZ
MARGARETA	MAA0RGAA0REH1TAH0
KISMETS	KIH1ZMIH0TS
EXPLOSIVE	IH0KSPLOW1SIH0V
INTERMINABLE	IH2NTER1MAH0NAH0BAH0L
GELARDI	JHEH0LAA1RDIY0
WITTON	WIH1TAH0N
SAAR	SAA1R
EXTERMINATORS	IH0KSTER1MAH0NEY2TER0Z
EMPTY-HANDED	EH1MPTIY0HHAE1NDIH0D
ANDES	AE1NDIY0Z
JUS(1)	JHAH1S
KINKLE	KIH1NGKAH0L
EFFICIENT	IH0FIH1SHAH0NT
DEPOSITIONAL	DEH2PAH0ZIH1SHAH0NAH0L
CRESSMAN	KREH1SMAH0N
CAUGHRON	KAO1RAH0N
KETCHIKAN	KEH1CHIH0KAH0N
DIVESTMENT	DAY0VEH1STMAH0NT
KOLODZIEJ	KAH0LAA1DZIY0JH
SNIFTERS	SNIH1FTER0Z
EVERYMAN	EH1VRIY0MAH0N
MARRIES	MEH1RIY0Z
HOLLYFIELD	HHAA1LIH0FIY2LD
OMAAR	OW1MAA0R
PENETRATORS	PEH1NAH0TREY2TER0Z
BANDAGED	BAE1NDAH0JHD
BOZTEPE(2)	BAA0ZTEH1PIY0
GIRL	GER1L
BUSSEY	BAH1SIY0
THEORA	THIY1ER0AH0
PUCHE	PUW1CH
ICESKATE	AY1SSKEY2T
ACCENT(1)	AE1KSEH2NT
MATERIALS	MAH0TIH1RIY0AH0LZ
MOSELEY-BRAUN	MOW1ZLIY0BRAA1N
OSMAN	AA1SMAH0N
VANNICE	VAE1NIH0S
MUJAHADEEN	MYUW0JHAE1HHAH0DIY2N
ISA	IY1SAH0
O'HALLORAN	OW0HHAE1LER0AH0N
RADIO'S	REY1DIY0OW2Z
FELBATOL	FEH1LBAH0TAA0L
SEVIGNY	SIH0VIH1GNIY0
PLATITUDE	PLAE1TIH0TUW2D
KOSKEY	KAA1SKIY0
PECULIARLY	PIH0KYUW1LYER0LIY0
VACILLATING	VAE1SAH0LEY2TIH0NG
HOMAGE(1)	HHAA1MAH0JH
GALLARDO	GAA0LAA1RDOW0
PEPTIDE	PEH1PTAY2D
OUTGUESSING	AW1TGEH2SIH0NG
WEAVES	WIY1VZ
KARLA	KAA1RLAH0
TURNIPS	TER1NAH0PS
SOBS	SAA1BZ
LANDING	LAE1NDIH0NG
ENLIGHTENS	EH2NLAY1TAH0NZ
DIPINTO	DIH0PIH1NTOW2
CENICEROS	SEY0NIY0SEH1ROW0Z
REEVALUATE	RIY2IH0VAE1LUW0EY2T
SARCASM	SAA1RKAE2ZAH0M
CROIX'S	KROY1Z
MOSHUS	MOW1SHAH0S
GUDELAY	GUW1DAH0LEY2
DISENGAGED	DIH0SIH0NGEY1JHD
ABRAHAMSON	AH0BRAE1HHAH0MSAH0N
MONOHULL	MAA1NAH0HHAH0L
BOUKNIGHT	BAW1KNAY0T
MACIK	MAA1CHIH0K
BONNY	BAA1NIY0
ALLDERDICE	AA1LDER0DAY2S
HAUGHEY	HHAO1KIY0
COUNTERCHARGE(1)	KAW1NER0CHAA2RJH
MASAI	MAA0SAA1IY0
PINER	PAY1NER0
DISMAYED	DIH0SMEY1D
ANTAGONISTS	AE0NTAE1GAH0NAH0STS
PLANTRONIC	PLAE2NTRAA1NIH0K
CLOONAN	KLUW1NAH0N
HILLA	HHIH1LAH0
HUMAN(1)	YUW1MAH0N
INDUCEMENT	IH2NDUW1SMAH0NT
CANTARA	KAA0NTAA1RAH0
VANDERVEER	VAE1NDER0VIH2R
TEAT	TIY1T
RUHLMAN	RUW1LMAH0N
CURNOW	KER1NOW0
SVENSSON	SVEH1NSAH0N
ALLUSIONS	AH0LUW1ZHAH0NZ
ARCHAEOLOGIST	AA2RKIY0AA1LAH0JHIH0ST
BRENTON	BREH1NTAH0N
TRIBUTE	TRIH1BYUW0T
LAWRENCE'S	LAO1RAH0NSIH0Z
CULPEPPER	KAH1LPIH0PER0
TOGGLED	TAA1GAH0LD
BALLOT	BAE1LAH0T
SARBER	SAA1RBER0
BATTLED	BAE1TAH0LD
JIRIK	JHIH1RIH0K
CYCLOSTOMES	SAY1KLAH0STOW2MZ
NARA	NAA1RAH0
TREPTOW	TREH1PTOW0
FLOCKED	FLAA1KT
SCHOLAR'S	SKAA1LER0Z
POOHED	PUW1D
OLOF	OW1LAO0F
MATUSZEWSKI	MAH0TAH0SHEH1FSKIY0
WOOLSEY	WUH1LZIY0
TOYSTORE	TOY1STAO2R
WENSBERG	WEH1NZBER0G
BURCHILL	BER1CHIH0L
HILDENBRAND(1)	HHIH1LDAH0NBRAE0ND
EVENTUAL(1)	IY0VEH1NCHUW0AH0L
GUTSHALL	GAH1CHAH0L
SWARTHMORE	SWAO1RTHMAO2R
MUSCLING	MAH1SAH0LIH0NG
MORTEN	MAO1RTAH0N
ENSMINGER	EH1NSAH0MIH0NGER0
PROFESSOR	PRAH0FEH1SER0
COMPLICATED	KAA1MPLAH0KEY2TAH0D
MONARCHS	MAA1NAA2RKS
SOKOLOV	SAA1KAH0LAA0V
BUCKETS	BAH1KAH0TS
HEIDORN	HHAY1DER0N
WELLMAN	WEH1LMAH0N
REPETITIONS	REH2PAH0TIH1SHAH0NZ
WEIDIG	WAY1DIH0G
DISLOCATE	DIH1SLOW0KEY0T
DIPHTHERIA	DIH0FTHIH1RIY0AA0
LIPKIN	LIH1PKIH0N
THWARTED	THWAO1RTAH0D
MOVIELAB	MUW1VIY0LAE2B
HODGE'S	HHAA1JHIH0Z
IDEA	AY0DIY1AH0
ACCLAIMED	AH0KLEY1MD
ENMITY(1)	EH1NMIH0TIY0
BANKES	BAE1NGKS
RESTATED	RIY0STEY1TIH0D
PERMUTATION	PER2MYUW0TEY1SHAH0N
LEINBACH	LAY1NBAA2K
BUDZ	BAH1DZ
RUCHTI	RUW1KTIY0
STRINGER	STRIH1NGER0
JESUS'S	JHIY1ZAH0SIH0Z
SNACKED	SNAE1KT
BREEDEN'S	BRIY1DAH0NZ
VERTICOM	VER1TIH0KAA0M
OXMAN	AA1KSMAH0N
SALVINO	SAE0LVIY1NOW0
GYRATES	JHAY1REY2TS
VEEDER	VIY1DER0
GET-TOGETHER	GEH1TTAH0GEH1DHER0
SUGIMOTO	SUW0GIY0MOW1TOW0
PENNINO	PEH0NIY1NOW0
DISMEMBER	DIH0SMEH1MBER0
DESPAIN	DIH0SPEY1N
SABER	SEY1BER0
KIDDIES	KIH1DIY0Z
JUSTICES'	JHAH1STIH0SIH0Z
JERSEY	JHER1ZIY0
TESTER	TEH1STER0
UNREPENTANT(1)	AH2NRIY0PEH1NTAH0NT
BUDGET'S	BAH1JHIH0TS
DEFUSED(1)	DIY0FYUW1ZD
RAILROADS'	REY1LROW2DZ
ATOM	AE1TAH0M
MOIR	MOY1R
MINOGUE	MIY1NAO0G
EMBRACING	EH0MBREY1SIH0NG
BELL	BEH1L
COLLINGE	KAA1LIH0NJH
ESCO	EH1SKOW0
GWIN	GWIH1N
DOSSIER(1)	DAO2SIY0EY1
FOIBLES	FOY1BAH0LZ
OUTSTRIPS	AW0TSTRIH1PS
DISALLOW	DIH2SAH0LAW1
FERRAND	FEH1RAH0ND
HEISE	HHAY1S
PYE	PAY1
JUNKIN	JHAH1NGKIH0N
MONJE	MAA1NJHEH0
SUPRISINGLY	SUW2PRAY1ZIH0NGLIY0
DREES	DRIY1Z
GLACE	GLEY1S
CONTRASTS	KAA1NTRAE0STS
ANTENUCCI	AE0NTIH0NUW1CHIY0
JUXTAPOSES	JHAH2KSTAH0POW1ZIH0Z
ZEALANDER	ZIY1LAH0NDER0
DIVULGING	DIH0VAH1LJHIH0NG
READ(1)	RIY1D
SZAFRAN	SHAA1FRAH0N
DABROWSKI	DAH0BRAO1FSKIY0
CAGLEY	KAE1GLIY0
REFUSAL	RAH0FYUW1ZAH0L
BORDEAUX	BAO0RDOW1
PRACTICALLY	PRAE1KTIH0KAH0LIY0
TRIBBY	TRIH1BIY0
CASTAGNA	KAA0STAA1GNAH0
COOLED	KUW1LD
FAULHABER	FAW1LHHAH0BER0
LEECE	LIY1S
SUITING	SUW1TIH0NG
CATACOMB	KAE1TAH0KOW2M
KOVARIK	KAH0VAA1RIH0K
SUCK	SAH1K
AUSTAD	AW1STAH0D
TYMINSKI	TIH0MIH1NSKIY0
FORGED	FAO1RJHD
SWITALSKI	SWIH0TAA1LSKIY0
ELEMENTAL	EH2LAH0MEH1NTAH0L
FUDOSAN	FYUW1DAH0SAA0N
EVANKO	IH0VAE1NGKOW0
DISSIPATED	DIH1SAH0PEY2TIH0D
CHOPPED	CHAA1PT
GOLEMBIEWSKI	GAH0LIH0MBIY0EH1FSKIY0
REMAINS	RIH0MEY1NZ
BOHLANDER	BOW1LAH0NDER0
NORTHERN	NAO1RDHER0N
DACRUZ	DAA1KRUW0Z
TRANSFERS	TRAE0NSFER1Z
BERTHS(1)	BER1DHZ
OVERRIDE	OW1VER0RAY2D
INFRINGE	IH2NFRIH1NJH
EDGETT	EH1JHIH0T
INTERMEDIC	IH1NTER0MEH2DIH0K
REINVIGORATING	RIY2IH0NVIH1GER0EY2TIH0NG
JEWELER	JHUW1AH0LER0
ENSIGN	EH1NSAH0N
BINDER	BAY1NDER0
IMPEACH	IH2MPIY1CH
BULLS	BUH1LZ
DIRECTS(1)	DAY0REH1KTS
NESTEA	NEH1STIY0AH0
WELTY	WEH1LTIY0
SELF-RESPECT	SEH2LFRIH0SPEH1KT
WOLFREY	WUH1LFRIY0
CONJECTURE	KAH0NJHEH1KCHER0
KARBOWSKI	KER0BAO1FSKIY0
MICKIEWICZ	MIH1KAH0VIH0CH
EBERS	EH1BER0Z
ERBE	ER1B
CO.	KOW1
YOYOS	YOW1YOW0Z
