ER0BEY1SHAH0S	HERBACEOUS
GRIH1LOW0	GRILLO
SKAA1RZDEY2L	SCARSDALE
RUW0VOW1LOW0	RUVOLO
GUW1Z	GOOS
AW0TWEY1D	OUTWEIGHED
WIH1GAH0NDZ	WIGAND'S
AH0NSAH0PAO1RTIH0D	UNSUPPORTED
REH1DAH0L	REDEL
SHAO1RTS	SHORTS
LAE1ZER0	LAZUR
RAH0FAY1NMAH0NT	REFINEMENT
TER1NKOW2T	TURNCOAT
WEH1STMAA2RK	WESTMARK
KOW1PAH0LMAH0N	KOPELMAN
HHEH1NIH0NGER0	HENINGER
REH1NAH0VEY2TER0	RENOVATOR
CHOY1SAH0Z	CHOICES
SHIY1LAH0	SHEILAH
PAE1CHIH0N	PATCHIN
AE1NZBAA2KER0	ANSBACHER
AE1NGKAH0L	ANKLE
RAE1PAH0PAO0RT	RAPPAPORT
KIH1R	KEAR
BAA0RTOW1LOW0	BARTOLO
RIY0SEH1L	RESELL
EH2KSPAH0DIH1SHAH0S	EXPEDITIOUS
GAW1BER0T	GAUBERT
SKAH1LIH0N	SCULLIN
CHIH1SMAH0N	CHISMAN
GOW1MAH0N	GOEMAN
ZIY2BRUW1GIY0	ZEEBRUGGE
GAH1NAA0RSAH0N	GUNNARSON
SAA1NTIH0DAE0D	SANTIDAD
GOW1LDFAH2S	GOLDFUS
FLEH1SH	FLESCH
IH1NSAH0KYER0	INSECURE
TRAE1NCH	TRANCHE
LIH1TWAO0K	LITWACK
PIH0KEH1T	PIQUETTE
SOW1SOW1	SO-SO
AE2NAH0STHIY2ZIY0AA1LAH0JHIH0ST	ANESTHESIOLOGIST
MAA1RWIH0N	MARWIN
CHIH1PMAH0N	CHIPMAN
SAH1DAA0RTH	SUDDARTH
BER1FAY0ND	BURFEIND
LIH1NGGWIH0STS	LINGUISTS
MEY1L	MALE
SPUW1K	SPOOK
AH2NAH0MOW1SHAH0NAH0L	UNEMOTIONAL(1)
MYUW1LAH0NAE2FIY0	MULANAPHY
SHEH1LHHAH0	SHELHAH
DRAH0BEH1NSTAH0T	DRABENSTOTT
MYUW1TAH0LEY2TIH0NG	MUTILATING
HHAE1NDAH0LZ	HANDLES
REY1NZ	RANES
DIH0SKLOW1ZIH0NG	DISCLOSING
PAA1MPAH0NOW2	POMPANO
SKAA1TAH0N	SCOTTEN
MOW1SOW0	MOSSO
HHOW1MOW2NER0SHIH2P	HOMEOWNERSHIP
EH0MEH1RAH0	EMERA
MAH0KFEH1RAH0N	MCFERREN
FAY1R	FIRE(1)
WEH1KER0LIY0	WECKERLY
GAH1TSIY1	GUTSY
PROW1LAA0G	PROLOGUE
WAO1RPT	WARPED
SEH1VER0SAH0N	SEVERSON
YOW1DAH0L	YODEL
DIH1NGER0	DINGER
KOW1LBER0T	COLBERT
AO1RLIY2NZ	ORLEANS
TAH1CHAH0BAH0L	TOUCHABLE
FAO1VER0	FAWVER
BAY1RAH0N	BYRON
TAO1LER0EY2TS	TOLERATES
TRIY0OW1MF	TRIOMPHE
BRIY0OW1NEH0S	BRIONES
KRIY1MEY0T	CREMATE
EH2PAH0DIY2MIY2AA1LAH0JHIH2STS	EPIDEMIOLOGISTS
NAY1THHAO2KS	NIGHTHAWKS
STAY1NHHAA0RTS	STEINHARDT'S
SAO1RZ	SOARS
RIY2PEY1Z	REPAYS
PAH0LUW1TS	POLLUTES
MEH1LIH0NGER0	MELLINGER
STRAY1KBREY2KER0Z	STRIKEBREAKERS
HHAH1LM	HULME
BEH1LWEH2DHER0Z	BELLWETHERS
KOW1TSAH0	COZZA
LAO1S	LOSS
PER1TIH0NIH0NT	PERTINENT
MOW1Z	MOES
MAH0KLAA1RTIY0	MCCLARTY
MAE1NDAH0L	MANDELL
EH1MYUW0LAH0KS	EMULEX
LIY1SKOW0	LEASCO
KRAE1NTS	KRANTZ
FAH1KTAH2P	FUCKED-UP
MAA1RLIH0N	MARLIN(1)
STIY1VAH0NZIH0Z	STEVENS'S(1)
MEH1RIY0AH0M	MERRIAM
NIY1GROW0	NEGRO
SAH1MER0AO2L	SUMMERALL
ZIY1TS	ZIETZ
DIY2AE0DREY1AH0Z	DEANDREA'S(1)
TAH1LIY0	TULLY
AA1TOW2	OTTO
PAE1SHAH0NAH0TLIY0	PASSIONATELY
FAO1RKAE2STER0	FORECASTER
REH2GEY0TOW1N	REGGAETON
FIH0LAH1KAH0	FELUCCA
EH0NDAO1RFIH0NZ	ENDORPHINS
FAE1LKAH0NZ	FALCONS
AH0BRIH1L	ABRIL
BAH0LIY2VAH0BIH1LIH0TIY0	BELIEVABILITY
KIH1NGZBER2OW0	KINGSBOROUGH
SWUW1ND	SWOONED
DRAO1IH0NG	DRAWING
SIY0MAH0NEH1TAH0	SIMONETTA
MER1IY0	MURREE
PAE1SK	PASK
SER1FAH0S	SEARFOSS
HHOW1SLIY0	HOESLY
KWEY0VEY1DOW0	QUEVEDO
NAO1RAH0N	NOREN
AH0NIH0MPLOY1AH0BAH0L	UNEMPLOYABLE
KUH1RAH0NT	COURANT
WER1DHIY0AH0ST	WORTHIEST
FLAE2MAH0BIH1LIH0TIY0	FLAMMABILITY
LOW1TZ	LOTZE
SEY1LZMIH0NZ	SALESMEN'S
HHAW1TER0	HAUETER
KAO1RDAH0L	CORDLE
NUW1BER2N	NEWBURN
KUW1LIH0JH	COOLIDGE
KOW0VAA0RUW0BIY1AH0Z	COVARRUBIAS
DIH1SER0T	DYSART
TOW0BUW1	TOBU
RAA1BAH0N	ROBBEN
JHEH1NTRIH0FAY2D	GENTRIFIED
FAO0RSIY1AH0BAH0L	FORESEEABLE
DIY1KYUW1AE1LFAH0	DQALPHA
GLEY1SIY0EY2TAH0D	GLACIATED(1)
SLAY1ST	SLICED
HHIY1CHUW0	HETU
FRAY1TAH0NIH0NG	FRIGHTENING
LIH1NAH0S	LINNAS
RIH1CHIY0	RITCHIE
NEH1KSTS	NEXT'S
BAE2STOW1N	BASTOGNE
GLAO1RIY0AH0SLIY0	GLORIOUSLY
EH1FIH0KAE2SIY0	EFFICACY
KIY1THLIY0Z	KEATHLEY'S
LAE1KER0	LACQUER
RIY1TUW1	RETO
SNOW1	SNOW
DOW1SER0	DOSER
RAY1TS	WRITES
FLAH1DIH0D	FLOODED(1)
SAH1NLAE2ND	SUNLAND
BAE1NGKSKWOW2T	BANXQUOTE
MAO1SKS	MOSQUES(1)
HHAE1K	HACK
MUW2SOW1	MOUSSEAU
TAE1KT	TACKED
HHAH1MF	HUMPH
HHIH1LAH0NBRAE2ND	HILLENBRAND
AO1FS	OFFS
LKSIY1	LXI
KUH1NER0	KUEHNER
SAY2AH0NTAA1LAH0JHAH0ST	SCIENTOLOGIST
FLIH1NTIY0	FLINTY
GRAE2TAH0FAH0KEY1SHAH0N	GRATIFICATION
SHAA1PER0Z	SHOPPER'S
VAH0GWIY1N	VAGUINE
PUW1SAH0NT	POUSSANT
IH2MAA1NDIY2	IMONDI(1)
BER1GAH0MAE2STER0	BURGOMASTER
IH0KSPREH1SIH0Z	EXPRESSES(1)
WEY1STLAE2ND	WASTELAND
PAE1NAH0L	PANEL
RAE1THJHAH0	RATHJE
MAE0GNOW1LYAH0Z	MAGNOLIAS
AA1NTKOW0	ONTKO
BRAY1ER0Z	BRYARS
LIH1ZIY0	LIZZY
DEH1NTLER0	DENTLER
JHAA1PLIH0N	JOPLIN
SAA1NDHHAY2MER0	SONDHEIMER
AY1DAH0LNAH0S	IDLENESS
SPEY1SBAO2LZ	SPACEBALLS
PLEY1SAH0NS	PLAISANCE
PAA1NIY0AE2K	PONTIAC(1)
AY1SIH0NJHER0	EISINGER
RIY1NAH0	RENA
KAH0NSIY1LD	CONCEALED
NAA2NIH0NFLEY1SHAH0NEH2RIY0	NONINFLATIONARY
GRAY1NDLEY2	GRINDLAY
DIH0LAO1ROW0	DILAURO
BLER1TAH0N	BLURTON
OW0PEY1K	OPAQUE
GRAE1M	GRAEME(1)
AA1DAH0SIY0	ODYSSEY
NOW1TIH0SAH0BLIY0	NOTICEABLY
MAW1ER0IY0	MOWERY
MEH1RIY0	MERRIE
DUW1IY0Z	DEWEY'S
SHUW1FLAY2	SHOOFLY
AE1Z	AS
IY1RIH0NGZ	EARRINGS(1)
ROW1MAH0NAO2F	ROMANOV(1)
RAE1SHNIH0NG	RATIONING(1)
AH0RAE1BIH0SHAO2N	ARABICHON
AA0RDEH1MAH0	AARDEMA
RIH0TAY1RD	RETIRED
SER1TAH0NLIY0	CERTAINLY
FRIY1RZ	FRERES(1)
KAA1GLIY0	COGLEY
LAE1MAH0NZ	LAMMONS
KEY1AH0	CAYA
GAO0RBAA1NIH0FER0	GHORBANIFAR(3)
SKLEH1NER0	SKLENAR
RIY0AE1KTER0	REACTOR
BIH1NFER0D	BINFORD
DER1SHAH0WIH2TSIH0Z	DERSHOWITZ'S
MAE1GNAH0TRAA2N	MAGNETRON
PAE1NIH0KIH0NG	PANICKING
ZAE1KER0IY0	ZACHARY
RUW1	RHEW
TAO1R	TORE
BAO1LPAA2RK	BALLPARK
MEY0LEY1NDREH0Z	MELENDREZ
SMUW1DHER0	SMOOTHER
PEH1MBRUH0K	PEMBROKE(1)
YOW0SIH0FIY1NAH0	JOSEFINA
DUW1SAH0LDAO2RF	DUESSELDORF
SLEY1	SLAY
IY1Z	E.S
YUW1NYAH0NAY2ZIH0NG	UNIONIZING
EH1NSTRAH0M	ENSTROM
PAE1RIH0SH	PARISH
SAH1D	SUDD
OW1VER0T	OVERT(1)
MOW1	MOW
JHUW1AH0LKAO0R	JEWELCOR
RIY0LEH1ND	RELEND
PLEY1NTIH0FS	PLAINTIFFS
MAA1RSAE0M	MARSAM
RAA1	RHA
DIH0VAY1NLIY0	DIVINELY
AH1LTRAH0	ULTRA
KAA1KAH0N	KOCHAN
SHRIH1L	SHRILL
BAE1N	BANN
HHER0AE1SIH0Z	HARASSES
TER1BAH2T	TURBOT(1)
FLUH2RAA1MAH0TER0	FLUOROMETER
EH1VAH0NSAH0N	EVANSON
IH2MPAA1RT	IMPART
HHAH1LSLAH0NDER0	HULSLANDER
PROW1REY1T	PRORATE
TRAE1NGKWAH0LAY2ZER0Z	TRANQUILIZERS
HHWAE1NG	HUANG
TEY1KAO2FS	TAKEOFFS
YOW1DAH0Z	YODA'S
GAE1VIH0N	GAVIN
BREH1NDAH0	BRENDA
FAH2NDAH0MEH1NAH0L	FUNDAMENTAL(1)
GAE1NSAH0N	GANSON
STREH1CHAH0Z	STRETCHES
TAE1NJHAH2G	TANJUG
MAO1RSH	MORSCH
HHAA1LMAA2RK	HALLMARK
EH1S	S.
GAH0ZEH1LAH0	GAZELLA
VAE1NDER0VEH2LD	VANDERVELDE
KWEH2SCHAH0NEH1R	QUESTIONNAIRE
EY1WAO2L	AWOL
IH1TSKAH0WIH0TS	ITZKOWITZ
MOW0NTEH0KAA1LVOW0	MONTECALVO
KAE1DBEH2RIY0	CADBURY
GRAE1NTS	GRANTS
IH2MPRAE1KTIH0KAH0BAH0L	IMPRACTICABLE
FOW1	FOE
AH1LSER0	ULCER
SPRIH1NGKAH0L	SPRINKLE
CHEH2CHAH0SLOW0VAA1KIY0AH0N	CZECHOSLOVAKIAN
DAO1DLIH0NG	DAWDLING
SIY1SIH2K	SEASICK
EH1MAH0GRAH0NTS	EMIGRANTS
FIH1DAH0LD	FIDDLED
JHAH1NGER0Z	JUNGERS
SEY1OW0	SEO(1)
EY1TIY0Z	EIGHTIES
RIY2IH0NSPEH1KT	REINSPECT
FIH1SAH0LER0	FISLER
BREH1TH	BREATH
KRAW1NER0	CROWNER
FRIH1SBIY0	FRISBEE
FRAH1STREY2TAH0D	FRUSTRATED
FRUW1GAH0L	FRUGAL
OW1SHAH0NGOW2IH0NG	OCEANGOING
RAW1ZER0	ROUZER
SAY1AH0NSIH0Z	SCIENCES'
RIY0PREH1SIH0V	REPRESSIVE
DAH0JHIH1NSKIY0	DUDZINSKI
SEY1GOW0	SAGO
DEH1LFTWEH2R	DELFTWARE
PEH2RIY0AH0DAA1NAH0L	PERIODONTAL(1)
SIH1NER0	SINNER
RAA2PUH1ZAH0L	RAPUNZEL
DIH0SKREH1DIH0TIH0D	DISCREDITED
TEH1MPIY0	TEMPE
SHIY1L	SCHEEL
BIH1NGKLIY0	BINKLEY
STAA1RTAH0LZ	STARTLES
SWER1GOW2LD	SWERGOLD
MIH1DSAY2Z	MIDSIZE
WNAH1K	WNUK
CHIY0TAA0DIY1NOW0	CITTADINO
IH0VAE1PER0EY2TS	EVAPORATES
HHAA1RDMAH0N	HARDEMAN
RAA1BIH0N	ROBIN(1)
LEH1PER0DZ	LEOPARDS
ER1BAH0LIH2STS	HERBALIST'S
AH2PEY2VD	UNPAVED
SIY1BRIH0NG	SEBRING
KRIH1SAH0LER0	CRYSLER
STEH1FAA0N	STEFAN
GAA0RDIY1NIY0Z	GARDINI'S
HHAO1ROW0IH0TS	HOROWITZ
SER1KAH0MSTAE2NSIH0Z	CIRCUMSTANCES(1)
AH2NAH0PRIY1SHIY0EY2TIH0D	UNAPPRECIATED
VIY0NIY1TAH0	VINITA
SPIH1CHER0	SPICHER
WOY1TKAH0VIH0CH	WOJTKIEWICZ
CHIY1ZIY0	CHEESY
DIH0SIH1GNER0	DESIGNOR
PER0UW1VIY0AH0N	PERUVIAN
PAA1RLAH0NS	PARLANCE
JHIH1TER0IY0	JITTERY
AA1RBIH0TREY2TS	ARBITRATES
POW1K	POKE
KLEH1RAH0STAE2T	CLAROSTAT
RAE1MBER0G	RAMBERG
AH0NEY1DIH0D	UNAIDED
YUW1	YOU
KAH0NDEH1RAH0	KUNDERA
TEH1RIY0	TERRY
HHAE1GNER0	HAGNER
GAE1RIY0AH0T	GARRIOTT
RUW0PAY1AH0	RUPIAH
LIY2AH0POW1LDOW0	LEOPOLDO
KAH1VER0	COVER
LUW1IH0NAH0	LEWANNA
AY1VER0IY0KOW1ST	IVORY-COAST
RIY2IH1NSTAH0TUW2TIH0NG	REINSTITUTING
DAY2AH0BEH1TIH0K	DIABETIC
AY0DEH1NTAH0FAY2ER0	IDENTIFIER
LIH1PIH0NKAH0T	LIPPINCOTT
RIY2UW0NAY1TS	REUNITES
AH1NDER0STAO2RIY0	UNDERSTORY
AH0MEH1RIH0KAH0NAY2ZD	AMERICANIZED
AH0KWIH1TAH0L	ACQUITTAL
DWAO1RF	DWARF
WIY1VD	WEAVED
LAA0RIH1NJHAH0SKAA1PIH2KAH0L	LARYNGOSCOPICAL(1)
LAH1LD	LULLED
KRAA1L	KRAHL
DRAH1GAH0STS	DRUGGIST'S
KAE1PIH0TAH0LZ	CAPITALS(1)
KAA2NSAH0NAA1NTAH0L	CONSONANTAL
GAA0RIY1GEH0S	GARRIGUES
SEH2LFAO2RGAH0NIH0ZIH0NG	SELF-ORGANISING
GAO1RBAH0CHAO2FS	GORBACHEV'S(1)
PAE1KT	PACT
TRAH1BAH0L	TROUBLE
MAA0RIY1N	MAREAN
MIH0SPLEY1SIH0Z	MISPLACES
PAE1LMKWIH0ST	PALMQUIST
SAH0TIH1RIH0K	SATIRIC
RAE1BAY2Z	RABBIS
RIY0AH0PEH1LIY0	RIOPELLE
MIH1DSHIH1PMAH0NZ	MIDSHIPMAN'S
SAH0PRAY1Z	SURPRISE(1)
EH1RLAY2NER0Z	AIRLINERS
AE1LAH0DEH0F	ALHADEFF
MAA0NKUW1SIY0	MANCUSI
PIY0TRAO1FSKIY0	PIETROWSKI
GOY1	GOY
PER1SAH0NZ	PERSONS
AE2NTIY0AA1KSAH0DAH0NT	ANTIOXIDANT
WAA1NDAH0	WANDA
IH1TSTIY0	ITSTEE
KWAA1NDER0IY0Z	QUANDARIES
FAE1BAH0L	FABEL
SHAO1RTIH0D	SHORTED
EH1VAH0T	EVATT
YUW1NAH0FAO2RMD	UNIFORMED
BOW1LER0	BOHLER
GAH1MSHUW2	GUMSHOE
AO2RIY0EH1NTAH0LZ	ORIENTALS
EH1MAH0GRAH0NT	EMIGRANT
ROY1SH	REUSCH
NIH1GER0DLIY0NAH0S	NIGGARDLINESS
TUW1SAH0	TUSA
AO1RTLAO0F	ORTLOFF
NAA1ST	KNOST
RIY1BAH0N	RIEBEN
PRIY0DIH1KS	PREDICTS(3)
BER1IY0ER0	BURRIER
FIH0LAH0TEH1LAH0K	PHILATELIC
BIY1BIY2	BEEBE
TIH1SHMAH0N	TISHMAN
WIH1RDLIY0	WEIRDLY
IH1NSTIH0TUW2TS	INSTITUTES
BAH1SKIY2	BUSKEY
SHIH1NAH0L	SHINALL
SKAE1LAH0	SKALLA
ZAA0VAA0DIY1L	ZAVADIL
VAH0LEH1SAH0	WALESA(1)
AO1RGAH0NAY2ZER0Z	ORGANIZERS
BAA1LMAH0N	BOLLMAN
TAA1PAH0L	TOPPLE
HHAA1RSHAH0	HARSHA
FAO1RTNER0	FORTNER
KOW1MIH0TIY0	COMITY
NUW1TRAH0LIH2ZAH0M	NEUTRALISM
KAH0SMAY1RAH0	KASMIRA
MEH1LROY2	MELROY
YUW0TIH1LAH0TIY0	UTILITY
IH0DEH1L	EDELL
PAA1TIY0T	POTEETE
DIY0FEH2NEH0STREY1SHAH0N	DEFENESTRATION
MEH1TSAH0NBAW2M	METZENBAUM
SUW2PER0KAA2NDAH2KTIH1VAH0TIY0	SUPERCONDUCTIVITY
BUH1LYAH0N	BULLION
KEH1TNER0	KETNER
IH1MPLIH0KEY2T	IMPLICATE
KAO0RNIY1LYIH0S	CORNELIOUS(1)
SOW1LZ	SOWLES
YAE1KOW0	YACKO
OW1LER0	OLER
POW1CHT	POACHED
SIY1MAH0N	SEAMAN
MAE2NAH0FEH0STEY1SHAH0NZ	MANIFESTATIONS
CHAA1RVAH0T	CHARVAT
THEH1LMAH0	THELMA
MIH1LER0OW0NZ	MILLIRONS
DRAE1FTIH0NG	DRAFTING
DEY1SIY0	DACY
RAH0FLEH1KTIH0NG	REFLECTING
VAE1SER0	VASSER
NUW1GAH0BAW0ER0	NEUGEBAUER
MEH1G	MEG
KAE1MPIY0	CAMPY
SKAY1RAA2KAH0T	SKYROCKET
SEH1ST	C'EST
HHAE1SH	HASCH
WUH1DSMAO2L	WOODSMALL
MAE2LKAH0NTEH1NT	MALCONTENT
AH1NDER0PER0FAO2RM	UNDERPERFORM
TRAY0AH1MFAH0NTLIY0	TRIUMPHANTLY
AH1NDER0PER0FAO2RMD	UNDERPERFORMED
IY1STEH2NDER0Z	EASTENDERS
HHAE1NDAH0LD	HANDLED
FUW1DZ	FOOD'S
BUW1DAH0LZ	BOODLES
TAY1DIH0NG	TIDING
SHER0AE1NSKIY0	SHARANSKY
WAY1LIY0	WYLY
MAH0KIH1NSTRIY0	MCKINSTRY
WAO1LZER0	WALSER
MAA1RKGRAH0F	MARKGRAF
YAH1MIY0Z	YUMMIES
FER0MEH1NTIH0NG	FERMENTING
HHWIH1SPER0Z	WHISPERS(1)
IH2NFAO1RMER0	INFORMER
SOW1LIH0NGER0	SOLINGER
LAA1BAO0	LOBAUGH
IY0VAE1KYAH0WEY1SHAH0N	EVACUATION(1)
DEH0LIY1SIY0OW0	DELISIO
TAA2MAH0SIY1BIY0	TAHMASSEBI
LEY1DIY0BAH2G	LADYBUG
AE1SHDAW2N	ASHDOWN
KAO1RSIY0	CORSI
KAH1MPSTAH0N	CUMPSTON
SIH1NER0JHIY0	CINERGY
FLAW1ER0IY0	FLOWERY
SPIY1DBOW2TS	SPEEDBOATS
KAH0NTEH1NDIH0D	CONTENDED
KAA1MPYUW0FAH2ND	COMPUFUND
OW0VER1T	OVERT
SAE1VAH0NTS	SAVANTS
SIH1MIH0K	SIMEK
MAH0JHAO1RIH0TIY0Z	MAJORITIES
LAH0BOW1	LEBOW
TAA1PAH0LD	TOPPLED
IH0KAA1NAH0MAY2ZAH0Z	ECONOMIZES
DIY1TRIH0K	DEATRICK
DWAO1RKIH0N	DWORKIN
MAO1NG	MONG
BYUH1ROW0	BUROW
LAH1MBER0JHAE2K	LUMBERJACK
MAH0GAO1LIY0	MCGAULEY
VAY1D	VIED
MOW0CHEH1RIY0	MOCERI
TAY1PT	TYPED
BIH1TER0AH0ST	BITTEREST
KEH1KLER0	KECKLER
BLIY1CHIH0NG	BLEACHING
YER0AH0SHEH1FSKIY0	JAROSZEWSKI
WEY1JHER0IH0NG	WAGERING
STOW1LP	STOLP
WIH1NTER0HHAO2LTER0	WINTERHALTER
TAE2TIY2AE1NAA2	TATIANA
MAA1NAH0TEH2RIY0	MONETARY
SAH0PRAY1ZIH0NGLIY0	SURPRISINGLY(1)
MAE1DRAH0GAH0LZ	MADRIGALS
LIH1STER0IY2NZ	LISTERINES
KREY1AA2N	CRAYON
SAH1TAH0NZ	SUTTON'S
RIH0PLEY1SIH0NG	REPLACING
MIH0KUW1LIH0CH	MIKULICH
GLAE0VIY1N	GLAVINE(1)
HHEH1KEH0NDAO0RN	HECKENDORN
AE1MJHEH0N	AMGEN
AH0SAA1DZ	ASSAD'S
DAY1	DAI
JHAA1NGRAE0NDIY0	GIANGRANDE
KWIH1BLIH0NG	QUIBBLING(1)
SIY0DOW1NIY0AH0	SIDONIA
AW1RLAO2NG	HOURLONG
HHAW1SGEH0ST	HOUSEGUEST
KAA1LDRAH0N	CAULDRON
SAA1MZ	PSALMS(1)
FREH1MIH0N	FREMIN
HHEH1DLAY2NER0Z	HEADLINERS
EH1LMAO0R	ELMORE
STUW1PER0	STUPOR
AA1LM	ALM
CHUW1IH0NG	CHEWING
KIH1LGAO0R	KILGORE
GAE1DIH0S	GADDIS
RAA1KAH0TRIY0	ROCKETRY
KOW0POW1LAH0	COPPOLA
TAH0PEY1LIY0AH0N	TOPALIAN
MAO1RG	MORGUE
NUH1ROW2	NEURO
DAW1TFAH0L	DOUBTFUL
PLEH1NAH0M	PLENUM
GIH1MIH0KRIY0	GIMMICKRY
WUH1DIH0NGTAH0N	WOODINGTON
KLEH1RMAH0NT	CLAIRMONT
SPEH1KTRAE2N	SPECTRAN
HHAE1CHER0IY0	HATCHERY
BIH1GWUH2D	BIGWOOD
PEH1GAH0SAH0S	PEGASUS
MEH1DIH0KEY2TIH0D	MEDICATED
TAE1LIY0	TALLY
SKRIY1MD	SCREAMED
MYUW1SIH0K	MUSICH
VEH1RDAH0	VERDA
TLAE2TIH0LOW1KOW0	TLATELOCO
PEH0TROW1NIY0AH0	PETRONIA
MAE1SAH0Z	MASSES
MEH0NKAA1KAH0	MENCHACA
STAO1RIY0D	STORIED
SHIH1LYAH0	SHELIA
SHOW1MAH0N	SHOWMAN
GRAW1NDIH0NG	GROUNDING
ER0IY1NAH0BAO2L	ARENABALL
IY0VAE1LYUW0EY2T	EVALUATE(1)
SEH1SHAH0NZ	SESSIONS'
SRIY1NIH0VAA2S	SRINIVAS
TEY1PER0Z	TAPERS
SAY1DTRAE2K	SIDETRACK
KAO2RAH0SPAA1NDAH0NT	CORESPONDENT
NAA0TSAA1ROW0	NAZZARO
LEH1STER0	LEICESTER
LAA1SEH0K	LASEK
GEY1NIY0	GAINEY
BEH1LTWEY2	BELTWAY
PER1ROW0	PERRO
GUH1RAH0	GURA
REH2PRAH0ZEH1NAH0TIH0VZ	REPRESENTATIVES(2)
AO1RIH0TS	ORITZ
NAA1TS	KNOTS
AE1SHAH0N	ASHEN
SEH1LER0Z	SELLER'S
HHIH1PKIH0NZ	HIPKINS
STRAH0TIY1JHIH0KAH0L	STRATEGICAL
AH0PROW2PRIY0EY1SHAH0N	APPROPRIATION
PAH0THEH1TIH0KAH0LIY0	PATHETICALLY
LAH1VLAH0ND	LOVELAND
IY1MOW2SHAH0NAH0L	EMOTIONAL(1)
PIY1ZIY0	PEASEY
WEH1DIH0MAY2ER0	WEDEMEYER
SHEY1	SCHEY
SIH0MOW1NZ	SIMONE'S
IH1NFOW0SKAE2N	INFOSCAN
OW1PIY0AH0M	OPIUM
BEH1STSEH1LER0	BESTSELLER
AH0NTRUW1THS	UNTRUTHS
AH0NKAO1LD	UNCALLED
KAE1CHMAH0NT	CATCHMENT
EH1MAH0GIY0N	EMOGENE
LAA0VAA1LIY0	LAVALLE
MIY1ZLIY0	MEASLY
DAA1KYUW0MAH0NIH0NG	DOCUMENTING(3)
STEY1K	STEAK
HHEH1LTHIY0IH0ST	HEALTHIEST
AW2LAA1NAH0	AULANA
IY1MOW2SHAH0N	EMOTION(1)
SEH1RAH0DAY2N	CERADYNE
TAW1NZ	TOWNS
TRIH1LIH0NG	TRILLING
BER1BRIH0JH	BURBRIDGE
OW2VER0SAY1Z	OVERSIZE
BYUW1RAH0K	BURACK
AH1NDER0RAY1TIH0NG	UNDERWRITING
TWIY1ZER0Z	TWEEZERS
NAH1MBER0Z	NUMBERS
HHOW1G	HOEG
KEY1LAY2T	CALITE(1)
YUH0RAA1DOW0	JURADO
RIY0VOW1LTAH0D	REVOLTED(1)
SIY1EH1NEH1NEH1FEH1N	CNNFN
BAH0KEY1NAH0L	BACCHANAL
PAO1RSHAH0Z	PORSCHE'S
RIH0DAH1NDAH0NSIY0Z	REDUNDANCIES
WIY1K	WEIK
TAA0MAA1ROW0	TAMMARO
KEH1NYAH0Z	KENYA'S
OW1IY0AH0N	OEIEN
PEH2TRAH0NIH1LAH0	PETRONILLA
FLIH1MZIY0AH0ST	FLIMSIEST
BUH1LIH0NGER0	BULLINGER
KYUW0ZAA1RAH0	KUZARA
KAA1K	KOCK
AA0LEH0RAO1N	ALERON
IH2NTER0REY1SHAH0L	INTERRACIAL
SAH0SPEH1NSHAH0NZ	SUSPENSIONS
KER1CHBER0GER0	KIRCHBERGER
THAO1R	THOR
SIH0NAA1PTIH0KS	SYNOPTICS
BER1GREH0N	BERGGREN
HHAA1BIY0	HOBBIE
SKWAO1K	SQUAWK
LAW1BAH0NSTAY0N	LAUBENSTEIN
NIY1AA0N	NEON
EH1KOW0	ECHO
BIY1WAY1YUW1	BYU
IH2NAO1DAH0BLIY0	INAUDIBLY
BAH0KAO1L	BACALL
WAO1RK	WARK
HHEH1MRIH0K	HEMRICK
AY1ER0	IYER
TREH1DWEH2L	TREADWELL
SEY1M	SAME
DEH1LZER0	DELZER
FRIY1DRIH0K	FRIEDRICK
MAH0SLAE1NGKAH0	MASLANKA
RIY0PIY1LIH0NG	REPEALING
WAY1NFEH2LD	WEINFELD
SHAH1TER0	SCHUTTER
HHOW1LTAH0N	HOLTAN
LUW1KAH0Z	LUKAS
MAH0KIY1ND	MCKEAND
SAH0DEY1TIH0NG	SEDATING
BIH2BLIY0AA1GRAH0FIY0	BIBLIOGRAPHY
PRAA1PFAE2N	PROPFAN
FAO0RTUW1IH0TAH0S	FORTUITOUS
GOW1DIH0D	GOADED
DAE1SHAH0L	DASHEL
PAE1SHAH0NZ	PASSIONS
MIH0SIH0NTER1PRAH0TS	MISINTERPRETS
EY1N	ANE
VEH1RIY0AH0NSIH0Z	VARIANCES
KAW1NTER0KLEY2M	COUNTERCLAIM
EH1KHHAA2RTS	ECKARDT'S(1)
ER1SKIH0N	ERSKIN
MIY0AE1NDER0	MEANDER
KIY1AO2SKS	KIOSKS
SER1VAH0SAH0BAH0L	SERVICEABLE
AE0NTIH1SAH0PAH0TAO2RIY0	ANTICIPATORY
AO2STEH1RIH0TIY0	AUSTERITY
FRAE1KSHAH0NZ	FRACTIONS
KAA1RAH0Z	KARAS
GRAE1SLAY2K	GRASSLIKE
SHWAA1B	SCHWAB
AY1TAH0MAY2Z	ITEMIZE
KAA0RIY1SAH0	CHARISSA
KAH0MYUW1NIH0TIY0	COMMUNITY(1)
CHEY1NG	CHSEING
SIH1MIY0AA2N	SIMION
LAW1AH0L	LAWALL
WAO1RDER0	WARDER
SAO1DAH2ST	SAWDUST
KAE2GER0LIH1TSKIY1	KAGARLITSKY
BER1NIH0SH	BURNISH
